,Ligand,PDB_Crystal,Run,Binding_Energy
0,NKL,NKL_7l4u,92,-4.41
0,NKL,NKL_7l4u,83,-4.4
0,NKL,NKL_7l4u,58,-4.4
0,NKL,NKL_7l4u,36,-4.39
0,NKL,NKL_7l4u,68,-4.38
0,NKL,NKL_7l4u,56,-4.37
0,NKL,NKL_7l4u,38,-4.33
0,NKL,NKL_7l4u,33,-4.31
0,NKL,NKL_7l4u,78,-4.3
0,NKL,NKL_7l4u,26,-4.29
0,NKL,NKL_7l4u,96,-4.27
0,NKL,NKL_7l4u,98,-4.27
0,NKL,NKL_7l4u,93,-4.24
0,NKL,NKL_7l4u,35,-4.23
0,NKL,NKL_7l4u,54,-4.08
0,NKL,NKL_7l4u,95,-4.08
0,NKL,NKL_7l4u,67,-4.02
0,NKL,NKL_7l4u,21,-3.82
0,NKL,NKL_7l4u,90,-3.56
0,NKL,NKL_7l4u,16,16800000.0
0,NKL,NKL_7l4u,47,16800000.0
0,NKL,NKL_7l4u,53,16800000.0
0,NKL,NKL_5sym,99,93.95
0,NKL,NKL_5sym,74,118.33
0,NKL,NKL_5sym,80,136.06
0,NKL,NKL_5sym,41,95.72
0,NKL,NKL_5sym,81,96.17
0,NKL,NKL_5sym,24,96.39
0,NKL,NKL_5sym,15,97.63
0,NKL,NKL_5sym,3,98.51
0,NKL,NKL_5sym,37,99.03
0,NKL,NKL_5sym,65,99.57
0,NKL,NKL_5sym,68,101.44
0,NKL,NKL_5sym,17,102.03
0,NKL,NKL_5sym,47,102.32
0,NKL,NKL_5sym,51,102.51
0,NKL,NKL_5sym,55,102.64
0,NKL,NKL_5sym,48,102.79
0,NKL,NKL_5sym,82,102.82
0,NKL,NKL_5sym,12,103.25
0,NKL,NKL_5sym,21,104.58
0,NKL,NKL_5sym,36,105.43
0,NKL,NKL_5sym,44,106.52
0,NKL,NKL_5sym,69,108.48
0,NKL,NKL_5sym,96,108.97
0,NKL,NKL_5sym,6,109.1
0,NKL,NKL_5sym,31,110.18
0,NKL,NKL_5sym,67,113.65
0,NKL,NKL_5sym,53,113.82
0,NKL,NKL_5sym,39,116.63
0,NKL,NKL_5sym,61,117.8
0,NKL,NKL_5sym,13,119.18
0,NKL,NKL_5sym,63,119.22
0,NKL,NKL_5sym,40,119.6
0,NKL,NKL_5sym,78,120.91
0,NKL,NKL_5sym,52,121.64
0,NKL,NKL_5sym,60,121.65
0,NKL,NKL_5sym,79,122.75
0,NKL,NKL_5sym,8,124.84
0,NKL,NKL_5sym,71,127.2
0,NKL,NKL_5sym,28,128.8
0,NKL,NKL_5sym,7,129.61
0,NKL,NKL_5sym,23,147.38
0,NKL,NKL_5sym,93,147.9
0,NKL,NKL_5sym,66,149.34
0,NKL,NKL_5sym,38,149.82
0,NKL,NKL_5sym,62,161.18
0,NKL,NKL_5sym,9,172.14
0,NKL,NKL_5sym,1,247.12
0,NKL,NKL_5sym,76,277.51
0,NKL,NKL_5sym,89,101.43
0,NKL,NKL_5sym,86,102.24
0,NKL,NKL_5sym,92,105.1
0,NKL,NKL_5sym,27,105.52
0,NKL,NKL_5sym,25,120.47
0,NKL,NKL_5sym,14,122.45
0,NKL,NKL_5sym,54,123.08
0,NKL,NKL_5sym,94,124.88
0,NKL,NKL_5sym,64,126.67
0,NKL,NKL_5sym,57,129.25
0,NKL,NKL_5sym,32,137.49
0,NKL,NKL_5sym,18,141.01
0,NKL,NKL_5sym,77,143.71
0,NKL,NKL_5sym,83,145.64
0,NKL,NKL_5sym,100,145.86
0,NKL,NKL_5sym,10,146.68
0,NKL,NKL_5sym,30,151.48
0,NKL,NKL_5sym,73,153.73
0,NKL,NKL_5sym,5,169.55
0,NKL,NKL_5sym,35,172.68
0,NKL,NKL_5sym,98,16800000.0
0,NKL,NKL_5sym,34,176.61
0,NKL,NKL_5sym,2,181.07
0,NKL,NKL_5sym,95,195.08
0,NKL,NKL_5sym,26,195.59
0,NKL,NKL_5sym,87,212.76
0,NKL,NKL_5sym,70,230.29
0,NKL,NKL_5sym,85,244.09
0,NKL,NKL_5sym,84,259.03
0,NKL,NKL_5sym,11,261.31
0,NKL,NKL_5sym,91,291.32
0,NKL,NKL_5sym,46,323.39
0,NKL,NKL_5sym,4,401.95
0,NKL,NKL_5sym,50,465.14
0,NKL,NKL_5sym,59,384.12
0,NKL,NKL_5sym,97,419.87
0,NKL,NKL_5sym,88,421.79
0,NKL,NKL_5sym,29,447.03
0,NKL,NKL_5sym,45,471.86
0,NKL,NKL_5sym,58,394.39
0,NKL,NKL_5sym,75,401.11
0,NKL,NKL_5sym,19,412.24
0,NKL,NKL_5sym,56,434.94
0,NKL,NKL_5sym,20,439.05
0,NKL,NKL_5sym,72,401.91
0,NKL,NKL_5sym,42,423.21
0,NKL,NKL_5sym,49,442.47
0,NKL,NKL_5sym,43,409.67
0,NKL,NKL_5sym,22,411.08
0,NKL,NKL_5sym,90,455.93
0,NKL,NKL_5sym,16,519.64
0,NKL,NKL_5sym,33,536.61
0,NKL,NKL_5ye8,87,-6.86
0,NKL,NKL_5ye8,54,-6.83
0,NKL,NKL_5ye8,58,-6.82
0,NKL,NKL_5ye8,2,-6.81
0,NKL,NKL_5ye8,48,-6.81
0,NKL,NKL_5ye8,33,-6.78
0,NKL,NKL_5ye8,31,-6.77
0,NKL,NKL_5ye8,30,-6.76
0,NKL,NKL_5ye8,61,-6.76
0,NKL,NKL_5ye8,95,-6.75
0,NKL,NKL_5ye8,44,-6.73
0,NKL,NKL_5ye8,42,-6.72
0,NKL,NKL_5ye8,94,-6.71
0,NKL,NKL_5ye8,45,-6.71
0,NKL,NKL_5ye8,86,-6.7
0,NKL,NKL_5ye8,22,-6.7
0,NKL,NKL_5ye8,76,-6.68
0,NKL,NKL_5ye8,47,-6.68
0,NKL,NKL_5ye8,43,-6.68
0,NKL,NKL_5ye8,74,-6.67
0,NKL,NKL_5ye8,34,-6.66
0,NKL,NKL_5ye8,62,-6.66
0,NKL,NKL_5ye8,78,-6.65
0,NKL,NKL_5ye8,35,-6.65
0,NKL,NKL_5ye8,56,-6.65
0,NKL,NKL_5ye8,26,-6.63
0,NKL,NKL_5ye8,8,-6.63
0,NKL,NKL_5ye8,88,-6.63
0,NKL,NKL_5ye8,82,-6.59
0,NKL,NKL_5ye8,25,-6.59
0,NKL,NKL_5ye8,63,-6.58
0,NKL,NKL_5ye8,53,-6.55
0,NKL,NKL_5ye8,20,-6.54
0,NKL,NKL_5ye8,36,-6.5
0,NKL,NKL_5ye8,6,-6.48
0,NKL,NKL_5ye8,55,-6.48
0,NKL,NKL_5ye8,1,-6.46
0,NKL,NKL_5ye8,27,-6.46
0,NKL,NKL_5ye8,7,-6.44
0,NKL,NKL_5ye8,24,-6.44
0,NKL,NKL_5ye8,73,-6.42
0,NKL,NKL_5ye8,85,-6.37
0,NKL,NKL_5ye8,15,-6.34
0,NKL,NKL_5ye8,50,-6.34
0,NKL,NKL_5ye8,41,-6.33
0,NKL,NKL_5ye8,13,-6.31
0,NKL,NKL_5ye8,89,-6.3
0,NKL,NKL_5ye8,51,-6.3
0,NKL,NKL_5ye8,93,-6.29
0,NKL,NKL_5ye8,14,-6.27
0,NKL,NKL_5ye8,57,-6.25
0,NKL,NKL_5ye8,96,-6.22
0,NKL,NKL_5ye8,90,-6.21
0,NKL,NKL_5ye8,67,-6.21
0,NKL,NKL_5ye8,97,-6.2
0,NKL,NKL_5ye8,9,-6.2
0,NKL,NKL_5ye8,37,-6.19
0,NKL,NKL_5ye8,66,-6.19
0,NKL,NKL_5ye8,69,-6.18
0,NKL,NKL_5ye8,71,-6.17
0,NKL,NKL_5ye8,81,-6.17
0,NKL,NKL_5ye8,39,-6.16
0,NKL,NKL_5ye8,46,-6.15
0,NKL,NKL_5ye8,5,-6.15
0,NKL,NKL_5ye8,70,-6.14
0,NKL,NKL_5ye8,100,-6.13
0,NKL,NKL_5ye8,79,-6.13
0,NKL,NKL_5ye8,28,-6.12
0,NKL,NKL_5ye8,92,-6.12
0,NKL,NKL_5ye8,40,-6.11
0,NKL,NKL_5ye8,72,-6.11
0,NKL,NKL_5ye8,19,-6.1
0,NKL,NKL_5ye8,84,-6.08
0,NKL,NKL_5ye8,4,-6.06
0,NKL,NKL_5ye8,49,-6.06
0,NKL,NKL_5ye8,11,-6.03
0,NKL,NKL_5ye8,23,-6.0
0,NKL,NKL_5ye8,65,-5.99
0,NKL,NKL_5ye8,10,-5.94
0,NKL,NKL_5ye8,17,-5.88
0,NKL,NKL_5ye8,91,-5.86
0,NKL,NKL_5ye8,21,-5.75
0,NKL,NKL_5ye8,99,-5.65
0,NKL,NKL_5ye8,83,16800000.0
0,NKL,NKL_5ye8,64,-6.42
0,NKL,NKL_5ye8,77,-6.25
0,NKL,NKL_5ye8,16,-6.2
0,NKL,NKL_5ye8,98,-6.19
0,NKL,NKL_5ye8,32,-5.92
0,NKL,NKL_5ye8,60,-5.92
0,NKL,NKL_5ye8,80,-5.9
0,NKL,NKL_5ye8,18,-5.85
0,NKL,NKL_5ye8,38,-5.84
0,NKL,NKL_5ye8,3,-5.82
0,NKL,NKL_5ye8,52,-5.81
0,NKL,NKL_5ye8,12,-5.81
0,NKL,NKL_5ye8,59,-5.74
0,NKL,NKL_5ye8,68,-5.73
0,NKL,NKL_5ye8,75,-5.72
0,NKL,NKL_5ye8,29,-5.66
0,NKL,NKL_3N0T,51,-0.96
0,NKL,NKL_3N0T,75,-0.74
0,NKL,NKL_3N0T,95,-0.58
0,NKL,NKL_3N0T,81,-0.56
0,NKL,NKL_3N0T,10,-0.55
0,NKL,NKL_3N0T,98,-0.54
0,NKL,NKL_3N0T,33,-0.49
0,NKL,NKL_3N0T,71,-0.46
0,NKL,NKL_3N0T,23,-0.36
0,NKL,NKL_3N0T,72,-0.3
